slope,distance_to_water,soil_suitability,suitable
11.16,2126.02,6,1
12.72,1717.69,6,1
2.45,5000,4,0
12.66,864.19,2,0
24.34,3557.96,5,0
8.27,271.71,4,1
4.22,3394.31,7,1
17.98,1320.38,5,1
39.54,1155.01,2,0
23.51,2436.83,4,1
7.64,1398,10,1
20.34,3568.24,4,0
14.37,400.8,7,1
8.74,1897.74,6,1
23.01,1100.47,6,1
23.02,1654.13,9,1
12.11,2786.93,1,0
7.28,4692.37,4,0
4.84,1131.71,6,1
9.82,161.55,9,1
6.36,1248.19,1,1
14.77,779.73,7,1
14.15,2182.99,6,1
10.72,2722.42,2,0
8.28,4787.9,4,0
23.18,4471.8,3,0
13.63,625.7,3,0
12.29,915.18,4,1
20.84,3612.98,10,1
4.69,1648.51,7,1
13.1,1313.35,7,1
10.2,1420.68,4,1
24.08,546.49,10,1
19.15,282.97,7,1
33.14,2073.7,3,0
24.39,842.01,5,1
25.49,840.71,4,0
24.41,719.51,6,1
3.14,761.17,5,1
1.69,696.14,8,1
21.28,1042.47,1,1
10.38,2016.61,2,0
20.49,2725.54,6,1
2.99,1559.39,7,1
13.02,1278.01,3,0
3.54,4895.22,5,0
8.96,2082.44,3,1
16.64,997.54,5,1
8.45,2658.22,3,0
2.46,784.59,4,1
18.6,2989.02,5,0
15.93,1023.28,4,0
16.49,587.74,2,1
21.35,696.77,4,0
5.3,1828.4,6,1
15.25,2589.28,5,1
27.02,717.01,9,1
22.75,1484.33,5,1
14.9,2900.02,7,1
13.4,676.79,6,1
11.15,492.34,7,1
20.84,167.48,2,1
2.63,684.29,6,1
24.16,1891.19,7,1
18.93,910.74,2,0
9.98,658.87,6,1
7.37,2225.34,6,1
8.01,2760.57,8,1
11.22,2516.17,3,1
13.89,1374.76,8,1
27.69,717.13,2,0
10.7,1300.57,6,1
29.8,793.97,8,1
9.06,532.13,1,0
21.11,1534.83,2,0
26.32,2736.25,7,1
11.62,1669.59,1,0
7.27,2247.04,3,0
3.38,2834.82,7,1
17.51,428.98,2,0
18.65,569.88,4,1
8.96,2477.89,6,1
9.87,621.77,6,1
14.17,1507.67,4,0
15.41,2480.28,5,1
10.48,1916.89,5,1
18.94,2314.41,5,1
2.85,942.3,4,1
22.59,2657.61,6,0
27,508.5,3,1
17.36,1130.45,4,0
4.92,561.42,9,1
9.76,3018.52,10,1
5.55,3126.83,6,1
12.88,329.49,3,1
12.25,928.71,8,1
19.59,243.95,3,0
2.6,765.97,4,1
10.39,1425.69,9,1
8.59,1139.01,5,1
15.44,1369.19,6,1
32.25,249.75,1,0
17.2,700.1,3,1
15.95,972.81,3,0
5.27,483.83,7,1
26.44,855.46,2,0
7.96,507.83,4,1
9.8,3775.68,1,0
25.42,1327.09,6,1
12.37,1090.12,4,0
15.78,1567.28,5,1
21.61,631.81,6,1
6.54,1665.61,6,1
13.13,933.68,5,1
14.58,1897.83,5,1
16.56,1755.29,6,1
15.22,948.57,4,1
12.88,3784.5,7,0
6.19,1043.67,2,0
3.27,1978.74,1,1
15.11,4227.21,5,1
19.59,110.23,4,1
23.81,1537.98,5,0
6.88,3385.63,5,1
11.8,2929.62,1,0
6.99,940.03,9,1
8.87,2679.67,3,0
9.65,2347.85,8,1
30.16,2166.3,7,0
12.91,1174.24,5,1
14.56,1641.62,6,1
13.98,2282.41,8,1
7.31,790.03,1,0
5.75,1049.12,6,1
12.01,317.4,9,1
7.69,1812.06,6,1
11.33,304.11,6,1
30.99,1075.91,6,1
8.21,1319.44,8,1
17.27,2194.71,2,0
7.04,689.24,9,1
8.56,1046.34,9,1
16.57,266.12,7,1
21.75,2096.72,4,0
11.59,1422.36,5,1
22.21,773.96,3,1
25.26,1562.91,3,0
19.49,1459.05,4,1
8.07,509.49,9,1
31.06,2797.76,5,0
7.57,776.03,6,1
3.91,343.22,6,1
6.74,197.44,7,1
9.89,412.15,6,1
20.37,1296.56,6,1
11.03,4488.23,3,0
12.62,2516.52,5,0
15.17,2158.99,6,1
11.8,1539.17,1,0
2.75,1201.7,5,1
17.67,601.17,5,1
15.48,1868.68,8,1
8.54,1650.59,9,1
10.48,1164.16,9,1
26.25,1997.39,2,0
24.07,598.21,9,1
14.74,3623.89,6,0
12.4,2716.32,9,1
7.96,811.33,5,1
9.17,2356.14,1,0
21.95,752.68,7,1
12.64,811.21,7,1
26.15,1002.08,2,0
24.1,214,7,1
13.82,347.42,3,1
6.38,3645.14,3,0
2.52,550.7,8,1
22.49,860.7,6,0
18.07,763.8,9,1
8.16,427.11,5,1
11.23,539.99,3,1
4.21,2034.17,7,1
15.05,1675.39,6,1
21.27,2523.2,8,1
5.86,1191.37,1,1
15.55,128.96,7,1
22.33,984.86,5,1
13.71,1239.98,2,1
25.6,3958.06,1,0
8.15,1123.15,10,1
17.32,2732.53,4,0
7.64,213.87,5,1
14,1073.34,4,1
20.62,755.38,6,1
8.38,1267.18,6,1
5.92,2339.8,7,1
9.47,3559.98,1,0
20.56,1293.93,6,1
9.39,1149.71,1,0
9.11,1291.13,4,1
17,1728.81,2,0
13.61,676.55,7,1
14.15,3564.6,5,0
16.35,1477.79,6,1
6.79,153.61,7,1
11.22,1128.5,3,1
17.39,1546.34,3,0
7.41,644.74,5,1
13.13,5000,4,0
16.64,3456.84,3,0
25.43,1591.8,4,0
8.49,1565.86,6,1
23.13,640.26,1,0
34,1699.41,5,0
13.65,1186.56,5,1
12.13,890.54,1,1
21.98,2202.25,5,0
8.66,548.63,6,1
23.94,1138.81,5,0
2.94,580.72,4,1
8.07,228.69,5,1
13.95,801.93,4,1
13.49,1205.82,9,1
21.59,4461.58,2,0
12.25,1247.91,7,1
28.58,2880.74,2,0
11.04,1509.85,7,1
16.82,4377.64,3,0
12.44,2648.71,5,1
2.58,553.34,5,1
5.81,2031.91,6,1
1.48,542.86,4,1
16.74,3298.96,6,0
4.65,937.14,7,1
13.35,1121.33,4,1
20.74,976.49,7,1
15.25,1024.78,2,1
14.73,957.93,7,1
21.55,5000,2,0
17.21,297.9,4,1
2.15,1140.59,3,1
2.5,279.55,5,1
13.42,2499.72,7,1
11.91,1990.11,6,1
18.64,945.77,6,1
6.65,1581.73,6,1
24.7,1790.6,10,1
12.88,272,2,1
14.92,2689.94,5,0
24.62,2130.7,4,0
14.47,817.73,4,1
18.24,3951.79,7,0
1.72,1620.88,4,1
4.73,505.18,3,1
11.15,963.31,7,1
17.59,2578.81,2,0
11.76,3072.52,6,1
24.75,1666.42,3,0
9.61,238.2,5,1
3.3,509.93,4,1
26.94,534.65,2,0
24.73,1671.87,2,0
18.63,764.24,4,1
3.15,812.5,10,1
19,1777.53,4,1
16.58,799.41,7,1
22.48,727.02,6,1
8.54,674.86,6,1
2.06,3000.65,9,1
18.48,1035.25,4,1
1.72,1293.94,1,0
10.15,2537.44,3,0
13.4,1775.27,9,1
6.66,1941.93,8,1
15.04,4493.73,1,0
6.13,98.81,6,1
31.45,263.95,6,1
5.59,1316.76,3,1
17.98,2683.14,4,1
7.2,2635.29,5,1
24.14,610.32,4,0
23.01,2925.76,2,0
6.4,1217.42,2,0
8.73,1741.07,5,1
2.27,697.73,3,1
13.29,2074.17,2,1
8.8,1253.75,6,1
11.64,133.14,6,1
6.04,638.83,8,1
4.72,3300.48,8,1
15,4174.68,6,1
12.64,2920.93,10,1
14.22,1595.83,3,1
6.27,846.16,3,1
5.5,841.98,6,1
11.81,985.91,6,1
15.15,257.57,9,1
10.8,3012.83,1,0
23.33,1457.18,4,0
0.89,1730.7,8,1
12.97,2972.22,5,1
6.54,624.9,6,1
12.95,1126.58,6,1
9.53,2058.51,6,1
26.52,468.39,2,0
21.53,2947,6,1
18.23,443.48,6,1
12.55,2123.15,4,1
16.87,2301.22,2,0
4.17,1285.14,5,1
2.01,801.3,6,1
13.82,45.14,8,1
18.75,342.07,7,1
3.52,191.37,7,1
10.55,1565.92,8,1
10.5,413.87,4,1
19.76,1298.36,6,1
20.7,1012.15,8,1
4.87,1028.56,6,1
12.08,2115.39,6,1
3.59,1971.57,7,1
9.41,5000,3,0
6.63,1047.12,6,1
16.85,782.04,2,1
7.62,852.8,6,1
6.29,1134.2,6,1
5.93,703.66,7,1
8.92,884.82,5,1
9.92,756.05,4,1
10.69,751.79,5,1
8.73,1099.2,6,1
2.72,2845.2,2,1
7.93,2205.25,5,1
19.64,2487.94,8,1
20.09,3329.41,6,0
16.38,1384.47,4,0
22.56,407.91,6,1
5.38,2723.03,7,1
18.32,1885.35,5,1
7.44,2779.77,4,1
12.47,913.81,5,0
9.18,609.31,5,1
7.71,784.01,6,1
7.18,5000,2,1
3.84,1983.83,3,1
8.59,438.49,8,1
8.62,1735.23,7,1
9.32,2549.41,4,1
11.97,842.07,5,1
11.53,721.16,1,1
5.3,1261.05,7,1
18.9,1105.86,2,1
25.29,1758.33,2,0
4.72,713.75,5,1
21.21,257.92,9,1
26.11,341.57,1,0
8.45,3433.92,7,1
21.17,264.23,7,1
29.56,285.98,5,1
17.36,1014.83,6,1
10.44,810.71,5,1
12.85,1031.27,6,1
17.66,160.07,4,1
10.21,1551.53,2,0
17.63,4192.49,3,0
4.07,852.33,3,1
4.23,1351.82,6,1
12.52,2581.9,5,1
17.69,235.68,7,1
8.61,1985.65,2,1
5.83,852.99,3,1
20.71,505.5,4,1
6.42,3102.26,7,1
3.88,1146.23,5,1
6.31,587.09,9,1
9.86,1515.18,2,0
2.69,1860.63,4,1
11.26,1299.02,7,1
27.42,1061.69,1,1
9.52,639.22,8,1
19.44,1284.4,7,1
8.5,725.41,7,1
18.1,1761.11,6,1
9.14,199.4,2,1
27.88,153.14,7,1
6.36,811.62,1,1
10.6,499.61,10,1
7.71,2428.24,9,1
19.21,1576.63,8,1
15.42,4056.37,3,0
10.26,1200.29,6,1
13.59,2894.88,3,0
14.14,2515.33,1,0
4.86,1175.21,5,1
7.85,1526.45,8,1
12.73,2685.57,6,1
17.2,1059.86,4,0
13.95,1465.22,7,1
16.05,845.26,4,1
21.85,2571.42,7,1
10.2,2456.7,9,1
2.01,352.7,6,1
7.77,1463.08,5,1
12.37,1209.64,8,1
6.5,1217.64,6,1
5.46,2626.24,5,1
16.05,2373.8,9,1
39.67,3632.55,6,1
14.64,3486.56,9,1
12.5,1840.27,6,1
19.96,759.89,5,1
3.07,4632.84,8,1
11.74,421.87,4,1
7.83,2563.97,5,1
19.59,878.04,2,1
27.64,610.16,10,1
18.45,2860.12,3,1
5.62,3127.36,9,1
4.78,1014.32,1,1
9.37,360.59,5,1
6.08,1768.98,8,1
21.63,730.46,8,1
5.2,483.85,5,1
10.66,1072.89,1,1
23.15,386.01,6,1
15.99,3693.66,5,1
3.87,240.46,6,1
4.42,3213.1,7,1
5.3,649.23,9,1
14.03,3118.06,5,1
24.58,2185.96,7,1
15.06,2648.08,5,0
6.58,594.33,5,1
27.52,2428.73,6,0
8.02,3252.02,4,1
16.49,3357.79,3,0
6.02,503.66,6,1
10.84,1343.9,4,1
9.73,1359.17,5,1
9.12,3144.25,7,1
1.83,1899.04,6,1
23.75,617.63,5,1
5.39,1371.95,7,1
5.47,2171.2,4,1
20.78,1552.06,4,1
21.98,3472.68,6,1
7.69,328.17,4,1
16.05,599.19,5,1
29.5,1183.82,8,1
16.89,960.86,2,1
15.14,1979.3,5,1
20.08,469.33,8,1
11.71,238.67,6,1
1.12,372.97,3,1
7.06,471.41,4,1
23.61,196.26,4,1
6,1099.71,6,1
27.62,224.81,6,1
21.89,3179.63,7,1
2.17,1384.24,2,1
4.8,4234.32,6,1
6.92,1998.13,3,1
17.91,4324.48,4,0
3.56,3332.37,1,0
16.26,1128.42,4,1
6.45,2106.18,2,0
11.62,1250.86,7,1
10.46,473.44,9,1
2.02,2901.92,3,0
5.61,3519.03,7,1
9.01,581.54,8,1
14.17,3914.8,4,1
12.69,594.66,8,1
2.51,2663.75,8,1
6.97,4384.25,5,0
11.49,1153.66,3,0
11.43,2189.5,5,1
17.95,1281.19,5,0
16.81,1415.28,6,1
1.88,2334.74,6,1
20.3,2876.41,3,0
27.3,1819.2,2,0
5.49,801.78,5,1
21.49,2556.86,7,0
4.51,3081.75,5,1
15.77,1333.42,6,1
4.61,2144.12,7,1
8.69,4152.54,4,1
12.62,2417.26,4,1
30.52,1444.9,6,1
10.04,832.34,9,1
29.18,657.65,8,1
9.6,2837.26,3,0
14.11,344.07,7,1
12.19,1387.92,3,0
16.41,3107.7,4,0
15.53,1801.91,6,1
18.97,4513.57,6,0
2.92,366.81,5,1
10.65,4184.54,7,1
21.07,2333.88,7,1
7.35,536.15,3,1
5.87,2446.67,7,1
7.82,1098.36,4,1
4.26,1694.07,4,1
6.25,4371.81,5,1
31.27,1967.58,7,0
28.15,295.13,8,1
8.02,1973.91,7,1
13.39,639.53,5,1
11.75,1214.5,5,1
17.19,343.29,3,1
16.93,1324.25,5,0
16.3,1374.99,4,0
9.16,961.07,4,1
17.78,615.9,4,0
1.71,1978.88,6,1
8.99,182.14,4,1
11.53,1022.79,7,1
10.82,846.73,7,1
3.28,735.06,9,1
20.75,883.05,4,1
12.76,1141.34,2,0
26.52,1846.79,7,1
6.06,1350.83,8,1
11.49,1915.55,7,1
11.36,1175.49,8,1
7.47,2076.12,3,0
10.86,1848.11,1,0
8.39,1586.99,3,0
13.44,3321.09,1,0
21.28,1732.12,4,1
6.47,216.58,2,1
5.5,379.01,7,1
18.48,3366.02,6,1
18.07,3195.35,7,1
16.13,672.16,7,1
13.26,614.76,9,1
14.26,1441.7,6,1
6.64,3729.31,9,1
20.83,898.44,7,1
19.34,863.97,5,0
7.12,2184.96,8,1
24.81,1683.7,7,1
17.75,277.96,3,1
3.18,477.32,3,1
30.57,1661.83,7,1
14.6,2922.33,6,1
14.3,1341.97,2,1
4.37,2629.29,9,1
10.36,46.75,4,1
29.58,127.02,5,1
12.01,3490.08,7,1
4.97,1252.16,6,1
8.97,5000,9,1
10.92,1442.1,8,1
8.57,2299.27,2,0
7.88,595.29,7,1
5,1828.3,3,0
22.92,1233.93,5,1
3.09,393.12,7,1
17.48,2738.69,8,1
1.86,1230.38,1,1
10.07,2960.61,7,1
6.48,1851.89,6,1
6.18,1788.83,4,1
10.22,79.88,4,1
9.67,1054.47,3,1
15.05,503.94,8,1
14.92,597.41,1,1
16.19,1194.07,2,1
8.16,425.72,6,1
9.85,928.43,4,1
11.23,1212.06,8,1
7.23,781.62,6,1
8.54,473.14,6,1
12.33,2952.42,7,1
16.66,981.44,7,1
15.61,649.34,5,0
6.59,1157.73,4,1
10.52,3511.04,1,0
18.3,1033.9,4,1
12.87,998.22,2,0
1.83,729.08,5,1
18.45,1069.14,7,1
11.13,2405.83,5,1
17.04,192.96,8,1
10.94,833.71,5,1
9.68,2181.17,6,1
9.97,1222.98,6,1
29.39,2328.73,5,0
2.31,388.85,3,0
19.89,879.24,3,0
6.29,730.23,6,1
5.46,1832.79,5,1
9.79,1042.94,3,1
27.77,1937.68,7,0
22.48,1022.56,6,1
7.37,1486.4,4,1
18.47,2245.43,2,0
10.1,777.73,3,1
15.15,3181.22,5,0
11.78,946.89,6,1
1.84,1546.83,3,1
9.06,3642,8,1
7.27,2110.56,5,0
23.58,2579.32,7,1
10.36,308.28,2,0
3.76,1022.31,6,1
15.47,1158.45,7,1
9.34,2766.45,6,0
31.68,2800.25,7,0
8.53,5000,2,0
14.95,1446.38,4,1
36.95,1564.34,7,1
26.46,2909.34,3,0
6.73,2236.6,9,1
9.87,2661.9,5,0
11.49,505.77,7,1
21.75,70.9,3,1
21.93,1943.7,7,1
3.62,2276.15,2,1
6.97,280.72,3,1
10.64,1118.47,6,1
5.24,217.78,7,1
19.86,632.12,5,1
13.37,614.51,5,1
6.4,245.56,7,1
15.55,901.82,6,1
8.89,3417.16,1,0
9.01,379.63,8,1
12.44,1756.28,5,0
17.98,2039.3,6,1
16.57,844.72,5,1
34.37,695.98,7,0
19.52,1263.8,7,1
5.69,221.25,3,0
24.87,595.94,4,1
7.1,440.57,7,1
22.1,303.12,6,1
5.91,218.16,1,1
6.03,1004.99,7,1
8.99,2193.57,9,1
20.46,3968.47,4,0
26.54,1055.95,4,0
30.11,2124.76,8,1
6.76,544.71,5,1
27.03,1078.48,3,1
16.25,1952.74,7,0
23.08,411.72,1,0
14.06,627.53,5,1
17.77,829.34,2,0
5.88,2360.02,4,1
5.46,1907.85,5,1
11.51,1353.59,6,1
